disease_group,disease_category,disease,gwas_id,protein,mr_method,snps,odds_ratio,ci_lower,ci_upper,pvalue
Neurological and psychiatric diseases,Dementia,Vascular dementia (I9_VASCDEM),finn-b-I9_VASCDEM,IFNLR1,Inverse variance weighted (multiplicative random effects),5,1.342781452,1.174505474,1.535166985,1.6e-05
Cardiovascular diseases,Arrhythmias,Arrhythmia,ebi-a-GCST90038611,IGFBP1,Wald ratio,1,0.98871688,0.978242813,0.999303093,0.036770735
Cardiovascular diseases,Hypertension,Hypertension,finn-b-I9_HYPTENS,IGFBP1,Wald ratio,1,1.759274253,1.174391193,2.635447129,0.006151712
Cardiovascular diseases,Hypertension,"Hypertension, essential",finn-b-I9_HYPTENSESS,IGFBP1,Wald ratio,1,1.660149554,1.076039126,2.561334876,0.021948257
Cardiovascular diseases,Hypertension,Hypertension,finn-b-I9_HYPTENS,IGFBP4,Wald ratio,1,0.635705143,0.415032733,0.973708809,0.037299175
Cardiovascular diseases,Hypertension,"Hypertension, essential",finn-b-I9_HYPTENSESS,IGFBP4,Wald ratio,1,0.561935849,0.355754447,0.887611949,0.013467787
Cardiovascular diseases,Stroke,Ischemic stroke,ebi-a-GCST005843,IGFBP4,Wald ratio,1,0.631442458,0.417722066,0.954509253,0.029194434
Neurological and psychiatric diseases,Psychiatric Disorders,schizophrenia,ieu-b-42,IGFBP4,Wald ratio,1,0.57076313,0.32948104,0.988738381,0.045457088
Cardiovascular diseases,Hypertension,Hypertension,finn-b-I9_HYPTENS,IGFBP6,Inverse variance weighted,3,1.42717092,1.164565688,1.748992655,0.000607047
Cardiovascular diseases,Hypertension,Hypertension,finn-b-I9_HYPTENS,IGFBP6,Inverse variance weighted (fixed effects),3,1.42717092,1.220495934,1.668843605,8.33e-06
Cardiovascular diseases,Hypertension,Hypertension,finn-b-I9_HYPTENS,IGFBP6,Inverse variance weighted (multiplicative random effects),3,1.42717092,1.164565688,1.748992655,0.000607047
Cardiovascular diseases,Hypertension,"Hypertension, essential",finn-b-I9_HYPTENSESS,IGFBP6,Inverse variance weighted,3,1.428095074,1.206776362,1.690002892,3.36e-05
Cardiovascular diseases,Hypertension,"Hypertension, essential",finn-b-I9_HYPTENSESS,IGFBP6,Inverse variance weighted (fixed effects),3,1.428095074,1.206776362,1.690002892,3.36e-05
Cardiovascular diseases,Hypertension,"Hypertension, essential",finn-b-I9_HYPTENSESS,IGFBP6,Inverse variance weighted (multiplicative random effects),3,1.428095074,1.225752873,1.663839087,4.85e-06
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011365,IGFBP6,Inverse variance weighted,2,0.849799642,0.737183712,0.979619354,0.024839499
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011365,IGFBP6,Inverse variance weighted (fixed effects),2,0.849799642,0.737183712,0.979619354,0.024839499
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011365,IGFBP6,Inverse variance weighted (multiplicative random effects),2,0.849799642,0.765117605,0.943854156,0.002374239
Neurological and psychiatric diseases,Psychiatric Disorders,bipolar disorder,ieu-b-41,IGFBP6,Inverse variance weighted,3,1.343454208,1.038646422,1.737712826,0.024524161
Neurological and psychiatric diseases,Psychiatric Disorders,bipolar disorder,ieu-b-41,IGFBP6,Inverse variance weighted (fixed effects),3,1.343454208,1.038646422,1.737712826,0.024524161
Neurological and psychiatric diseases,Psychiatric Disorders,bipolar disorder,ieu-b-41,IGFBP6,Inverse variance weighted (multiplicative random effects),3,1.343454208,1.212011755,1.489151572,1.91e-08
Neurological and psychiatric diseases,Neurodegenerative Diseases,Dementia with Lewy bodies,ebi-a-GCST90001390,IGFBP6,Inverse variance weighted,2,0.360188044,0.175309097,0.740038191,0.005445129
Neurological and psychiatric diseases,Neurodegenerative Diseases,Dementia with Lewy bodies,ebi-a-GCST90001390,IGFBP6,Inverse variance weighted (fixed effects),2,0.360188044,0.175309097,0.740038191,0.005445129
Neurological and psychiatric diseases,Neurodegenerative Diseases,Dementia with Lewy bodies,ebi-a-GCST90001390,IGFBP6,Inverse variance weighted (multiplicative random effects),2,0.360188044,0.188364873,0.688745333,0.002018945
Neurological and psychiatric diseases,Psychiatric Disorders,Major depression,ieu-b-102,IGFBP6,Inverse variance weighted,2,0.881769085,0.806900808,0.963584012,0.005445479
Neurological and psychiatric diseases,Psychiatric Disorders,Major depression,ieu-b-102,IGFBP6,Inverse variance weighted (fixed effects),2,0.881769085,0.806900808,0.963584012,0.005445479
Neurological and psychiatric diseases,Psychiatric Disorders,Major depression,ieu-b-102,IGFBP6,Inverse variance weighted (multiplicative random effects),2,0.881769085,0.857152132,0.907093023,3.04e-18
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,finn-b-I9_MI,IGSF3,Inverse variance weighted,3,0.745149461,0.567161446,0.978994118,0.034647784
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,finn-b-I9_MI,IGSF3,Inverse variance weighted (fixed effects),3,0.745149461,0.567161446,0.978994118,0.034647784
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,finn-b-I9_MI,IGSF3,Inverse variance weighted (multiplicative random effects),3,0.745149461,0.629039292,0.882691632,0.000664544
Neurological and psychiatric diseases,Dementia,Vascular dementia (multiple infarctations),finn-b-VD_MI,IGSF3,Inverse variance weighted,3,23.49865508,3.772590379,146.3680747,0.000717717
Neurological and psychiatric diseases,Dementia,Vascular dementia (multiple infarctations),finn-b-VD_MI,IGSF3,Inverse variance weighted (fixed effects),3,23.49865508,3.772590379,146.3680747,0.000717717
Neurological and psychiatric diseases,Dementia,Vascular dementia (multiple infarctations),finn-b-VD_MI,IGSF3,Inverse variance weighted (multiplicative random effects),3,23.49865508,16.03841245,34.42901797,5.06e-59
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ebi-a-GCST90027158,OMG,Wald ratio,1,0.807277109,0.665862633,0.978724888,0.029341937
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ebi-a-GCST90027158,S100A11,Wald ratio,1,1.147180354,1.013651414,1.298299145,0.02964831
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ebi-a-GCST90027158,FAS,Inverse variance weighted (fixed effects),9,1.057772133,1.005553899,1.11270205,0.029673295
Neurological and psychiatric diseases,Dementia,Dementia,finn-b-F5_DEMENTIA,IGSF8,Inverse variance weighted,2,0.691902464,0.533478016,0.897373471,0.005499783
Neurological and psychiatric diseases,Dementia,Dementia,finn-b-F5_DEMENTIA,IGSF8,Inverse variance weighted (fixed effects),2,0.691902464,0.533478016,0.897373471,0.005499783
Neurological and psychiatric diseases,Dementia,Dementia,finn-b-F5_DEMENTIA,IGSF8,Inverse variance weighted (multiplicative random effects),2,0.691902464,0.573018414,0.83545137,0.000128616
Neurological and psychiatric diseases,Neurodegenerative Diseases,Dementia with Lewy bodies,ebi-a-GCST90001390,IGSF8,Inverse variance weighted,2,0.550747165,0.321564049,0.943272237,0.029800769
Neurological and psychiatric diseases,Neurodegenerative Diseases,Dementia with Lewy bodies,ebi-a-GCST90001390,IGSF8,Inverse variance weighted (fixed effects),2,0.550747165,0.321564049,0.943272237,0.029800769
Neurological and psychiatric diseases,Neurodegenerative Diseases,Dementia with Lewy bodies,ebi-a-GCST90001390,IGSF8,Inverse variance weighted (multiplicative random effects),2,0.550747165,0.427604229,0.709353228,3.85e-06
Neurological and psychiatric diseases,Dementia,"Dementia, including avohilmo",finn-b-F5_DEMENTIA_INCLAVO,IGSF8,Inverse variance weighted,2,0.680177641,0.525073819,0.88109825,0.003515694
Neurological and psychiatric diseases,Dementia,"Dementia, including avohilmo",finn-b-F5_DEMENTIA_INCLAVO,IGSF8,Inverse variance weighted (fixed effects),2,0.680177641,0.525073819,0.88109825,0.003515694
Neurological and psychiatric diseases,Dementia,"Dementia, including avohilmo",finn-b-F5_DEMENTIA_INCLAVO,IGSF8,Inverse variance weighted (multiplicative random effects),2,0.680177641,0.542590722,0.852653031,0.000830461
Cardiovascular diseases,Stroke,"Ischaemic Stroke, excluding all haemorrhages",finn-b-I9_STR_EXH,IGSF8,Inverse variance weighted,2,1.233490092,1.004989576,1.51394387,0.04468404
Cardiovascular diseases,Stroke,"Ischaemic Stroke, excluding all haemorrhages",finn-b-I9_STR_EXH,IGSF8,Inverse variance weighted (fixed effects),2,1.233490092,1.004989576,1.51394387,0.04468404
Cardiovascular diseases,Stroke,"Ischaemic Stroke, excluding all haemorrhages",finn-b-I9_STR_EXH,IGSF8,Inverse variance weighted (multiplicative random effects),2,1.233490092,1.019656911,1.492166425,0.030741175
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ebi-a-GCST90018894,IGSF8,Inverse variance weighted,2,0.668680104,0.460499228,0.970974661,0.034448813
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ebi-a-GCST90018894,IGSF8,Inverse variance weighted (fixed effects),2,0.668680104,0.460499228,0.970974661,0.034448813
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ebi-a-GCST90018894,IGSF8,Inverse variance weighted (multiplicative random effects),2,0.668680104,0.578623227,0.772753427,4.95e-08
Cardiovascular diseases,Stroke,"Stroke, including SAH",finn-b-I9_STR_SAH,IGSF8,Inverse variance weighted,2,1.212310243,1.003300308,1.464861631,0.046138177
Cardiovascular diseases,Stroke,"Stroke, including SAH",finn-b-I9_STR_SAH,IGSF8,Inverse variance weighted (fixed effects),2,1.212310243,1.003300308,1.464861631,0.046138177
Cardiovascular diseases,Stroke,"Stroke, including SAH",finn-b-I9_STR_SAH,IGSF8,Inverse variance weighted (multiplicative random effects),2,1.212310243,1.182315256,1.243066194,2.87e-51
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer<c3><95>s disease, wide definition",finn-b-G6_AD_WIDE,MYOM3,Wald ratio,1,1.85003713,1.061937526,3.223011995,0.029841679
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ebi-a-GCST90027158,IL10RB,Inverse variance weighted (multiplicative random effects),20,1.036340975,1.003457321,1.070302239,0.030022727
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ebi-a-GCST90027158,IL10RB,Inverse variance weighted,20,1.036340975,1.003457321,1.070302239,0.030022727
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ebi-a-GCST90027158,NPPB,Inverse variance weighted (fixed effects),3,0.914247111,0.84299558,0.991520953,0.030334628
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ebi-a-GCST90027158,NPPB,Inverse variance weighted,3,0.914247111,0.84299558,0.991520953,0.030334628
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ieu-b-5067,EFNA1,Inverse variance weighted (fixed effects),7,1.000597131,1.000056637,1.001137917,0.030353714
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer disease,finn-b-G6_ALZHEIMER,GM2A,Inverse variance weighted (fixed effects),20,0.918016196,0.849617929,0.991920847,0.030361331
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer disease,finn-b-G6_ALZHEIMER,GM2A,Inverse variance weighted,20,0.918016196,0.849617929,0.991920847,0.030361331
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ebi-a-GCST90027158,IGSF9,Inverse variance weighted (multiplicative random effects),8,0.935366936,0.880316383,0.993860074,0.030849523
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ebi-a-GCST90027158,IGSF9,Inverse variance weighted,8,0.935366936,0.880316383,0.993860074,0.030849523
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ieu-b-5067,PAEP,Inverse variance weighted,21,1.000344095,1.000031624,1.000656664,0.030896643
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ieu-b-5067,PAEP,Inverse variance weighted (fixed effects),21,1.000344095,1.000031624,1.000656664,0.030896643
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer disease, including avohilmo",finn-b-G6_ALZHEIMER_INCLAVO,CSF1R,Inverse variance weighted (fixed effects),6,1.327664275,1.025208465,1.719350248,0.031654386
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer<c3><95>s disease, wide definition",finn-b-G6_AD_WIDE,PXN,Inverse variance weighted (fixed effects),25,1.087109792,1.007350966,1.173183666,0.031682625
Neurological and psychiatric diseases,Psychiatric Disorders,Bipolar disorder,ebi-a-GCST003724,IL10RB,Inverse variance weighted,21,1.109336694,1.030846958,1.193802718,0.005580525
Neurological and psychiatric diseases,Psychiatric Disorders,Bipolar disorder,ebi-a-GCST003724,IL10RB,Inverse variance weighted (fixed effects),21,1.109336694,1.030846958,1.193802718,0.005580525
Neurological and psychiatric diseases,Psychiatric Disorders,Bipolar disorder,ebi-a-GCST003724,IL10RB,Inverse variance weighted (multiplicative random effects),21,1.109336694,1.03436422,1.1897433,0.003656504
Cardiovascular diseases,Arrhythmias,Arrhythmia,ebi-a-GCST90038611,IL12B,Inverse variance weighted,20,1.001475038,1.000528799,1.002422172,0.002242073
Cardiovascular diseases,Arrhythmias,Arrhythmia,ebi-a-GCST90038611,IL12B,Inverse variance weighted (fixed effects),20,1.001475038,1.000528799,1.002422172,0.002242073
Cardiovascular diseases,Arrhythmias,Arrhythmia,ebi-a-GCST90038611,IL12B,Inverse variance weighted (multiplicative random effects),20,1.001475038,1.000550945,1.002399985,0.001751552
Cardiovascular diseases,Stroke,Ischemic stroke,ebi-a-GCST006908,IL12B,Inverse variance weighted,19,0.957729519,0.921331797,0.995565153,0.028900264
Cardiovascular diseases,Stroke,Ischemic stroke,ebi-a-GCST006908,IL12B,Inverse variance weighted (fixed effects),19,0.957729519,0.921331797,0.995565153,0.028900264
Cardiovascular diseases,Stroke,Ischemic stroke,ebi-a-GCST006908,IL12B,Inverse variance weighted (multiplicative random effects),19,0.957729519,0.923548793,0.99317528,0.019841297
Neurological and psychiatric diseases,Psychiatric Disorders,Schizophrenia,finn-b-F5_SCHZPHR,IL12B,Inverse variance weighted,20,1.218642741,1.07102263,1.386609479,0.002686473
Neurological and psychiatric diseases,Psychiatric Disorders,Schizophrenia,finn-b-F5_SCHZPHR,IL12B,Inverse variance weighted (fixed effects),20,1.218642741,1.07102263,1.386609479,0.002686473
Neurological and psychiatric diseases,Psychiatric Disorders,Schizophrenia,finn-b-F5_SCHZPHR,IL12B,Inverse variance weighted (multiplicative random effects),20,1.218642741,1.093668269,1.357898161,0.000341065
Neurological and psychiatric diseases,Psychiatric Disorders,Schizophrenia or delusion,finn-b-KRA_PSY_SCHIZODEL,IL12B,Inverse variance weighted,20,1.152442837,1.04794021,1.267366668,0.003438785
Neurological and psychiatric diseases,Psychiatric Disorders,Schizophrenia or delusion,finn-b-KRA_PSY_SCHIZODEL,IL12B,Inverse variance weighted (fixed effects),20,1.152442837,1.052826915,1.261484174,0.002097472
Neurological and psychiatric diseases,Psychiatric Disorders,Schizophrenia or delusion,finn-b-KRA_PSY_SCHIZODEL,IL12B,Inverse variance weighted (multiplicative random effects),20,1.152442837,1.04794021,1.267366668,0.003438785
Neurological and psychiatric diseases,Dementia,Vascular dementia (undefined),finn-b-VD_U,IL12B,Inverse variance weighted,20,1.437646421,1.06289313,1.944529675,0.018480778
Neurological and psychiatric diseases,Dementia,Vascular dementia (undefined),finn-b-VD_U,IL12B,Inverse variance weighted (fixed effects),20,1.437646421,1.06289313,1.944529675,0.018480778
Neurological and psychiatric diseases,Dementia,Vascular dementia (undefined),finn-b-VD_U,IL12B,Inverse variance weighted (multiplicative random effects),20,1.437646421,1.064259575,1.942033017,0.017985984
Neurological and psychiatric diseases,Neurodegenerative Diseases,Dementia in Alzheimer disease,finn-b-F5_ALZHDEMENT,NFASC,Inverse variance weighted (fixed effects),13,0.8649523,0.757572666,0.987552105,0.031935757
Neurological and psychiatric diseases,Neurodegenerative Diseases,Dementia in Alzheimer disease,finn-b-F5_ALZHDEMENT,NFASC,Inverse variance weighted,13,0.8649523,0.757572666,0.987552105,0.031935757
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ebi-a-GCST90027158,C1RL,Inverse variance weighted (fixed effects),3,1.182177509,1.014171265,1.378015441,0.032360473
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90038610,IL18BP,Wald ratio,1,1.01533287,1.003467948,1.027338082,0.011172448
Cardiovascular diseases,Stroke,Stroke,ebi-a-GCST005838,IL18BP,Wald ratio,1,1.579917602,1.065240495,2.343263931,0.022950262
Cardiovascular diseases,Arrhythmias,Arrhythmia,ebi-a-GCST90038611,IL18R1,Inverse variance weighted,25,0.999326051,0.998696571,0.999955928,0.035985166
Cardiovascular diseases,Arrhythmias,Arrhythmia,ebi-a-GCST90038611,IL18R1,Inverse variance weighted (fixed effects),25,0.999326051,0.998696571,0.999955928,0.035985166
Cardiovascular diseases,Arrhythmias,Arrhythmia,ebi-a-GCST90038611,IL18R1,Inverse variance weighted (multiplicative random effects),25,0.999326051,0.998756792,0.999895635,0.020394385
Cardiovascular diseases,Arrhythmias,Atrial fibrillation,ebi-a-GCST90038689,IL18R1,Inverse variance weighted,25,0.999251336,0.998788327,0.999714559,0.001538557
Cardiovascular diseases,Arrhythmias,Atrial fibrillation,ebi-a-GCST90038689,IL18R1,Inverse variance weighted (fixed effects),25,0.999251336,0.998808476,0.999694392,0.000928146
Cardiovascular diseases,Arrhythmias,Atrial fibrillation,ebi-a-GCST90038689,IL18R1,Inverse variance weighted (multiplicative random effects),25,0.999251336,0.998788327,0.999714559,0.001538557
Cardiovascular diseases,Arrhythmias,Atrial fibrillation and flutter,finn-b-I9_AF,IL18R1,Inverse variance weighted,26,0.950491734,0.916497693,0.985746657,0.006283904
Cardiovascular diseases,Arrhythmias,Atrial fibrillation and flutter,finn-b-I9_AF,IL18R1,Inverse variance weighted (fixed effects),26,0.950491734,0.916497693,0.985746657,0.006283904
Cardiovascular diseases,Arrhythmias,Atrial fibrillation and flutter,finn-b-I9_AF,IL18R1,Inverse variance weighted (multiplicative random effects),26,0.950491734,0.922851385,0.978959941,0.000745452
Cardiovascular diseases,Hypertension,Hypertension,ebi-a-GCST90038604,IL18R1,Inverse variance weighted,25,0.997139221,0.994449627,0.999836089,0.03762152
Cardiovascular diseases,Hypertension,Hypertension,ebi-a-GCST90038604,IL18R1,Inverse variance weighted (fixed effects),25,0.997139221,0.995025842,0.999257088,0.008131739
Cardiovascular diseases,Hypertension,Hypertension,ebi-a-GCST90038604,IL18R1,Inverse variance weighted (multiplicative random effects),25,0.997139221,0.994449627,0.999836089,0.03762152
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer<c3><95>s disease, wide definition",finn-b-G6_AD_WIDE,COL15A1,Inverse variance weighted (fixed effects),6,1.188930739,1.013950608,1.394107653,0.03312487
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer<c3><95>s disease, wide definition",finn-b-G6_AD_WIDE,COL15A1,Inverse variance weighted,6,1.188930739,1.013950608,1.394107653,0.03312487
Neurological and psychiatric diseases,Neurodegenerative Diseases,Dementia in Alzheimer disease,finn-b-F5_ALZHDEMENT,EPHA1,Inverse variance weighted (fixed effects),6,0.760020269,0.590456895,0.978277694,0.033129544
Neurological and psychiatric diseases,Neurodegenerative Diseases,Dementia in Alzheimer disease,finn-b-F5_ALZHDEMENT,EPHA1,Inverse variance weighted,6,0.760020269,0.590456895,0.978277694,0.033129544
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer disease,finn-b-G6_ALZHEIMER,SHISA5,Inverse variance weighted (fixed effects),8,1.426362681,1.028748273,1.977656294,0.033172004
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer disease,finn-b-G6_ALZHEIMER,SHISA5,Inverse variance weighted,8,1.426362681,1.028748273,1.977656294,0.033172004
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ebi-a-GCST90027158,AOC3,Inverse variance weighted (fixed effects),14,0.967850221,0.939143065,0.99743488,0.033404066
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ebi-a-GCST90027158,RSPO3,Inverse variance weighted (multiplicative random effects),3,1.099970817,1.007375679,1.201077041,0.033687329
Neurological and psychiatric diseases,Dementia,Vascular dementia (F5_VASCDEM),finn-b-F5_VASCDEM,IL18R1,Inverse variance weighted,26,0.866540177,0.767859612,0.977902558,0.020219435
Neurological and psychiatric diseases,Dementia,Vascular dementia (F5_VASCDEM),finn-b-F5_VASCDEM,IL18R1,Inverse variance weighted (fixed effects),26,0.866540177,0.767859612,0.977902558,0.020219435
Neurological and psychiatric diseases,Dementia,Vascular dementia (F5_VASCDEM),finn-b-F5_VASCDEM,IL18R1,Inverse variance weighted (multiplicative random effects),26,0.866540177,0.768750305,0.976769537,0.019040664
Neurological and psychiatric diseases,Dementia,Vascular dementia (I9_VASCDEM),finn-b-I9_VASCDEM,IL18R1,Inverse variance weighted,26,0.873249182,0.77011815,0.990191094,0.034538307
Neurological and psychiatric diseases,Dementia,Vascular dementia (I9_VASCDEM),finn-b-I9_VASCDEM,IL18R1,Inverse variance weighted (fixed effects),26,0.873249182,0.772079319,0.987675897,0.030975309
Neurological and psychiatric diseases,Dementia,Vascular dementia (I9_VASCDEM),finn-b-I9_VASCDEM,IL18R1,Inverse variance weighted (multiplicative random effects),26,0.873249182,0.77011815,0.990191094,0.034538307
Neurological and psychiatric diseases,Dementia,Vascular dementia (multiple infarctations),finn-b-VD_MI,IL18R1,Inverse variance weighted,26,0.733168876,0.569098717,0.944540172,0.016329752
Neurological and psychiatric diseases,Dementia,Vascular dementia (multiple infarctations),finn-b-VD_MI,IL18R1,Inverse variance weighted (fixed effects),26,0.733168876,0.569098717,0.944540172,0.016329752
Neurological and psychiatric diseases,Dementia,Vascular dementia (multiple infarctations),finn-b-VD_MI,IL18R1,Inverse variance weighted (multiplicative random effects),26,0.733168876,0.582551596,0.922727882,0.008158228
Neurological and psychiatric diseases,Dementia,Vascular dementia (undefined),finn-b-VD_U,IL18R1,Inverse variance weighted,26,0.796792368,0.662465453,0.958356508,0.015884471
Neurological and psychiatric diseases,Dementia,Vascular dementia (undefined),finn-b-VD_U,IL18R1,Inverse variance weighted (fixed effects),26,0.796792368,0.664714629,0.955113745,0.014023563
Neurological and psychiatric diseases,Dementia,Vascular dementia (undefined),finn-b-VD_U,IL18R1,Inverse variance weighted (multiplicative random effects),26,0.796792368,0.662465453,0.958356508,0.015884471
Cardiovascular diseases,Arrhythmias,Atrial fibrillation and flutter,finn-b-I9_AF,IL1R2,Inverse variance weighted,16,1.082178916,1.017343884,1.151145866,0.012227353
Cardiovascular diseases,Arrhythmias,Atrial fibrillation and flutter,finn-b-I9_AF,IL1R2,Inverse variance weighted (fixed effects),16,1.082178916,1.017343884,1.151145866,0.012227353
Cardiovascular diseases,Arrhythmias,Atrial fibrillation and flutter,finn-b-I9_AF,IL1R2,Inverse variance weighted (multiplicative random effects),16,1.082178916,1.037362449,1.128931559,0.00025236
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90038610,IL1R2,Inverse variance weighted,17,0.998567603,0.997195065,0.999942031,0.041091264
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90038610,IL1R2,Inverse variance weighted (fixed effects),17,0.998567603,0.997280771,0.999856096,0.029350691
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90038610,IL1R2,Inverse variance weighted (multiplicative random effects),17,0.998567603,0.997195065,0.999942031,0.041091264
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90018877,IL1R2,Inverse variance weighted,18,0.948224335,0.910735606,0.987256217,0.009789283
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90018877,IL1R2,Inverse variance weighted (fixed effects),18,0.948224335,0.910735606,0.987256217,0.009789283
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90018877,IL1R2,Inverse variance weighted (multiplicative random effects),18,0.948224335,0.912402119,0.985452982,0.006813694
Neurological and psychiatric diseases,Neurodegenerative Diseases,Amyotrophic lateral sclerosis,ebi-a-GCST90027164,IL1R2,Inverse variance weighted,16,0.9497833,0.90364577,0.998276478,0.042570782
Neurological and psychiatric diseases,Neurodegenerative Diseases,Amyotrophic lateral sclerosis,ebi-a-GCST90027164,IL1R2,Inverse variance weighted (fixed effects),16,0.9497833,0.904705869,0.997106737,0.037820524
Neurological and psychiatric diseases,Neurodegenerative Diseases,Amyotrophic lateral sclerosis,ebi-a-GCST90027164,IL1R2,Inverse variance weighted (multiplicative random effects),16,0.9497833,0.90364577,0.998276478,0.042570782
Neurological and psychiatric diseases,Neurodegenerative Diseases,Amyotrophic lateral sclerosis,ieu-a-1085,IL1R2,Inverse variance weighted,11,0.978692717,0.962447973,0.995211649,0.011666754
Neurological and psychiatric diseases,Neurodegenerative Diseases,Amyotrophic lateral sclerosis,ieu-a-1085,IL1R2,Inverse variance weighted (fixed effects),11,0.978692717,0.962447973,0.995211649,0.011666754
Neurological and psychiatric diseases,Neurodegenerative Diseases,Amyotrophic lateral sclerosis,ieu-a-1085,IL1R2,Inverse variance weighted (multiplicative random effects),11,0.978692717,0.96515062,0.992424824,0.002448462
Neurological and psychiatric diseases,Neurodegenerative Diseases,Dementia due to Parkinsons disease,finn-b-PD_DEMENTIA,IL1R2,Inverse variance weighted,16,1.472302316,1.012763931,2.14035477,0.042719483
Neurological and psychiatric diseases,Neurodegenerative Diseases,Dementia due to Parkinsons disease,finn-b-PD_DEMENTIA,IL1R2,Inverse variance weighted (fixed effects),16,1.472302316,1.025277336,2.11423196,0.036152303
Neurological and psychiatric diseases,Neurodegenerative Diseases,Dementia due to Parkinsons disease,finn-b-PD_DEMENTIA,IL1R2,Inverse variance weighted (multiplicative random effects),16,1.472302316,1.012763931,2.14035477,0.042719483
Cardiovascular diseases,Stroke,"Ischaemic Stroke, excluding all haemorrhages",finn-b-I9_STR_EXH,IL1R2,Inverse variance weighted,16,1.067371086,1.002427209,1.136522458,0.041781223
Cardiovascular diseases,Stroke,"Ischaemic Stroke, excluding all haemorrhages",finn-b-I9_STR_EXH,IL1R2,Inverse variance weighted (fixed effects),16,1.067371086,1.002427209,1.136522458,0.041781223
Cardiovascular diseases,Stroke,"Ischaemic Stroke, excluding all haemorrhages",finn-b-I9_STR_EXH,IL1R2,Inverse variance weighted (multiplicative random effects),16,1.067371086,1.016380531,1.120919775,0.009039283
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ebi-a-GCST90018894,IL1R2,Inverse variance weighted,18,1.298698638,1.141336339,1.477757341,7.31e-05
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ebi-a-GCST90018894,IL1R2,Inverse variance weighted (fixed effects),18,1.298698638,1.158038448,1.456444003,7.87e-06
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ebi-a-GCST90018894,IL1R2,Inverse variance weighted (multiplicative random effects),18,1.298698638,1.141336339,1.477757341,7.31e-05
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Parkinson's disease, strict definition",finn-b-PDSTRICT,IL1R2,Inverse variance weighted,16,1.216589869,1.011914576,1.46266389,0.036976465
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Parkinson's disease, strict definition",finn-b-PDSTRICT,IL1R2,Inverse variance weighted (fixed effects),16,1.216589869,1.056856305,1.400465609,0.006332649
