cmr_category,cmr_trait,bmr_category,bmr_trait,n,beta,pvalue
Right atrium,RA minimum volume,NODDI dMRI,Mean OD in posterior limb of internal capsule on FA skeleton (right),31625,0.046528275,1.25e-16
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Mean L2 in tapetum on FA skeleton (right),32099,0.046018384,1.6e-16
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Mean FA in superior corona radiata on FA skeleton (right),32173,-0.045965029,1.6e-16
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Mean FA in cerebral peduncle on FA skeleton (right),32169,-0.045966959,1.6e-16
Left ventricle,LV radial strain AHA 2,DTI dMRI,Weighted-mean L3 in tract superior longitudinal fasciculus (left),32101,-0.046012473,1.61e-16
Descending aorta,Descending aorta maximum area,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (right),30411,0.047430202,1.28e-16
Left ventricle,LV end diastolic volume,DTI dMRI,Mean L2 in posterior corona radiata on FA skeleton (right),32021,0.046068007,1.62e-16
Left ventricle,LV end systolic volume,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (right),32102,0.046001215,1.64e-16
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Mean FA in posterior limb of internal capsule on FA skeleton (right),30448,-0.047389487,1.3e-16
Left atrium,LA ejection fraction,DTI dMRI,Mean L3 in superior corona radiata on FA skeleton (right),31613,-0.046508822,1.3e-16
Left ventricle,LV end systolic volume,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (left),32098,0.046000905,1.64e-16
Left ventricle,LV mean myocardial wall thickness AHA 16,DTI dMRI,Mean MD in cingulum cingulate gyrus on FA skeleton (right),32165,0.045944672,1.67e-16
Left ventricle,LV mean myocardial wall thickness AHA 2,NODDI dMRI,Weighted-mean ICVF in tract forceps minor,32162,-0.045945116,1.67e-16
Ascending aorta,Ascending aorta distensibility,NODDI dMRI,Weighted-mean ICVF in tract forceps minor,27526,0.049818054,1.34e-16
Left ventricle,LV mean myocardial wall thickness AHA 3,DTI dMRI,Mean L2 in anterior limb of internal capsule on FA skeleton (right),32107,0.045965538,1.72e-16
Ascending aorta,Ascending aorta minimum area,DTI dMRI,Mean L2 in inferior cerebellar peduncle on FA skeleton (right),30309,0.047471427,1.35e-16
Left ventricle,LV mean myocardial wall thickness AHA 5,DTI dMRI,Mean L1 in tapetum on FA skeleton (right),32144,0.045934632,1.73e-16
Ascending aorta,Ascending aorta minimum area,DTI dMRI,Mean MD in posterior limb of internal capsule on FA skeleton (left),30416,0.047377551,1.37e-16
Descending aorta,Descending aorta minimum area,DTI dMRI,Mean MO in corticospinal tract on FA skeleton (left),30455,-0.047338922,1.39e-16
Left ventricle,LV myocardial mass,NODDI dMRI,Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (right),32084,-0.045959268,1.78e-16
Ascending aorta,Ascending aorta distensibility,DTI dMRI,Mean FA in retrolenticular part of internal capsule on FA skeleton (left),27541,0.049773932,1.4e-16
Left ventricle,LV mean myocardial wall thickness AHA 16,DTI dMRI,Mean L1 in anterior corona radiata on FA skeleton (left),32154,0.045903903,1.79e-16
Descending aorta,Descending aorta minimum area,DTI dMRI,Mean MD in cingulum cingulate gyrus on FA skeleton (right),30442,0.047330142,1.43e-16
Left ventricle,LV mean myocardial wall thickness AHA 8,NODDI dMRI,Mean ICVF in retrolenticular part of internal capsule on FA skeleton (left),32151,-0.045905187,1.79e-16
Descending aorta,Descending aorta minimum area,DTI dMRI,Mean MD in superior longitudinal fasciculus on FA skeleton (right),30388,0.047360141,1.45e-16
Left ventricle,LV mean myocardial wall thickness AHA 2,DTI dMRI,Mean L2 in posterior thalamic radiation on FA skeleton (left),32102,0.045912348,1.87e-16
Descending aorta,Descending aorta distensibility,NODDI dMRI,Mean ISOVF in anterior corona radiata on FA skeleton (right),27532,-0.049741108,1.48e-16
Descending aorta,Descending aorta distensibility,NODDI dMRI,Mean ISOVF in anterior limb of internal capsule on FA skeleton (right),27510,-0.049751687,1.5e-16
Descending aorta,Descending aorta minimum area,DTI dMRI,Weighted-mean L2 in tract inferior fronto-occipital fasciculus (left),30418,0.047309958,1.51e-16
Left ventricle,LV mean myocardial wall thickness AHA 5,NODDI dMRI,Mean ICVF in splenium of corpus callosum on FA skeleton,32149,-0.045877366,1.87e-16
Ascending aorta,Ascending aorta distensibility,DTI dMRI,Weighted-mean L3 in tract posterior thalamic radiation (left),27480,-0.049761961,1.53e-16
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in inferior cerebellar peduncle on FA skeleton (left),31965,0.045994734,1.91e-16
Right atrium,RA stroke volume,NODDI dMRI,Weighted-mean OD in tract corticospinal tract (left),31736,0.04630085,1.55e-16
Left ventricle,LV mean myocardial wall thickness AHA 16,DTI dMRI,Weighted-mean L3 in tract inferior fronto-occipital fasciculus (right),32143,0.045863028,1.93e-16
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Weighted-mean L1 in tract parahippocampal part of cingulum (right),30328,0.047354958,1.57e-16
Left ventricle,LV mean myocardial wall thickness AHA 14,DTI dMRI,Weighted-mean MD in tract uncinate fasciculus (right),32154,0.045843909,1.96e-16
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Mean L1 in body of corpus callosum on FA skeleton,32156,0.045842377,1.96e-16
Left ventricle,LV mean myocardial wall thickness AHA 2,DTI dMRI,Weighted-mean FA in tract inferior longitudinal fasciculus (right),32174,-0.045825834,1.97e-16
Left ventricle,LV radial strain AHA 3,NODDI dMRI,Mean ISOVF in anterior corona radiata on FA skeleton (right),32127,-0.045856993,1.98e-16
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of AV (left hemisphere),31816,0.034829333,5.16e-10
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of AV (right hemisphere),31816,0.040000021,9.51e-13
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of CL (left hemisphere),31793,0.029280166,1.77e-07
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of CL (right hemisphere),31800,0.033466919,2.38e-09
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of L-Sg (left hemisphere),31824,0.036909645,4.51e-11
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of MDl (left hemisphere),31815,0.031598103,1.73e-08
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of MDl (right hemisphere),31807,0.030951551,3.37e-08
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of MGN (left hemisphere),31817,0.034401932,8.36e-10
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of Midbrain (whole brain),31825,0.039146707,2.83e-12
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of Pt (left hemisphere),31814,0.02976984,1.09e-07
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of PuA (left hemisphere),31819,0.03542549,2.6e-10
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of PuA (right hemisphere),31818,0.031524307,1.86e-08
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of PuM (left hemisphere),31821,0.033750118,1.72e-09
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of PuM (right hemisphere),31819,0.031245809,2.48e-08
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of Whole-thalamus (left hemisphere),31822,0.032513838,6.58e-09
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of hippocampal-fissure (left hemisphere),31802,0.029650133,1.23e-07
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of hippocampal-fissure (right hemisphere),31818,0.035388556,2.72e-10
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of Caudate (left hemisphere),31810,0.032816868,4.79e-09
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of Caudate (right hemisphere),31814,0.038915367,3.83e-12
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of Optic-Chiasm (whole brain),31824,0.031431889,2.04e-08
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of Pallidum (left hemisphere),31821,0.034420372,8.17e-10
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of Pallidum (right hemisphere),31824,0.038009647,1.18e-11
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of Putamen (left hemisphere),31821,0.046142974,1.79e-16
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of Putamen (right hemisphere),31818,0.045726322,3.34e-16
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of SubCortGray (whole brain),31825,0.05168083,2.82e-20
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of WM-hypointensities (whole brain),30132,0.059364301,6.13e-25
Left ventricle,LV mean myocardial wall thickness AHA 14,Regional and tissue intensity,Mean intensity of Thalamus-Proper (left hemisphere),31786,-0.033876884,1.53e-09
Left ventricle,LV mean myocardial wall thickness AHA 14,Regional and tissue intensity,Mean intensity of Thalamus-Proper (right hemisphere),31804,-0.032480008,6.89e-09
Left ventricle,LV mean myocardial wall thickness AHA 14,Regional and tissue intensity,Mean intensity of VentralDC (right hemisphere),31789,-0.029546479,1.37e-07
Left ventricle,LV mean myocardial wall thickness AHA 14,Grey white matter intensity contrast,Grey-white contrast in insula (left hemisphere),31825,-0.029052183,2.18e-07
Left ventricle,LV mean myocardial wall thickness AHA 14,Grey white matter intensity contrast,Grey-white contrast in rostralanteriorcingulate (left hemisphere),31824,-0.032686849,5.46e-09
Left ventricle,LV mean myocardial wall thickness AHA 14,Cortical surface area,Area of insula (left hemisphere),31823,0.033607905,2.01e-09
Left ventricle,LV mean myocardial wall thickness AHA 14,Cortical surface area,Area of insula (left hemisphere),31823,0.031798955,1.4e-08
Left ventricle,LV mean myocardial wall thickness AHA 14,Cortical surface area,Area of insula (right hemisphere),31824,0.031662392,1.61e-08
Left ventricle,LV mean myocardial wall thickness AHA 14,Cortical surface area,Area of insula (right hemisphere),31825,0.032216965,9e-09
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of grey matter in Caudate (left),32352,0.055592209,1.43e-23
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of grey matter in Caudate (right),32345,0.05439953,1.24e-22
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of grey matter in Pallidum (right),31880,0.030471691,5.28e-08
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of grey matter in Putamen (left),32585,0.031610197,1.15e-08
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of grey matter in Thalamus (left),32598,0.036935718,2.55e-11
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of grey matter in Thalamus (right),32592,0.03291685,2.78e-09
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of grey matter in X Cerebellum (vermis),32629,0.031165947,1.79e-08
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of global and regional brain,Volume of putamen (right),32610,0.032325854,5.26e-09
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of white matter hyperintensity,Total volume of peri-ventricular white matter hyperintensities,30911,0.057044102,1.05e-23
Left ventricle,LV mean myocardial wall thickness AHA 14,Volume of white matter hyperintensity,Total volume of white matter hyperintensities (from T1 and T2_FLAIR images),30580,0.052684347,3e-20
Left ventricle,LV mean myocardial wall thickness AHA 16,NODDI dMRI,Mean ICVF in external capsule on FA skeleton (right),32138,-0.045846309,1.99e-16
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean FA in retrolenticular part of internal capsule on FA skeleton (right),32173,-0.045820119,1.99e-16
Left atrium,LA minimum volume,DTI dMRI,Weighted-mean L2 in tract superior longitudinal fasciculus (left),31473,0.046467218,1.61e-16
Left ventricle,LV mean myocardial wall thickness AHA 14,DTI dMRI,Weighted-mean L3 in tract superior thalamic radiation (left),32127,0.045840382,2.03e-16
Left atrium,LA ejection fraction,DTI dMRI,Mean L3 in superior corona radiata on FA skeleton (left),31611,-0.046364105,1.62e-16
Left ventricle,LV mean myocardial wall thickness AHA 2,DTI dMRI,Mean L3 in anterior limb of internal capsule on FA skeleton (left),32056,0.04588827,2.04e-16
Left ventricle,LV myocardial mass,NODDI dMRI,Weighted-mean ICVF in tract cingulate gyrus part of cingulum (left),32181,-0.045798376,2.04e-16
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in cerebral peduncle on FA skeleton (right),32168,0.045804366,2.05e-16
Left ventricle,LV mean myocardial wall thickness AHA 9,NODDI dMRI,Weighted-mean ISOVF in tract inferior longitudinal fasciculus (right),32150,0.045808493,2.08e-16
Left atrium,LA ejection fraction,DTI dMRI,Mean L3 in cingulum cingulate gyrus on FA skeleton (left),31689,-0.046279561,1.69e-16
Left ventricle,LV mean myocardial wall thickness AHA 2,NODDI dMRI,Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (left),32158,-0.045794382,2.1e-16
Left ventricle,LV end systolic volume,DTI dMRI,Weighted-mean L3 in tract superior thalamic radiation (right),32101,0.045831172,2.11e-16
Ascending aorta,Ascending aorta minimum area,NODDI dMRI,Weighted-mean ISOVF in tract superior longitudinal fasciculus (right),30426,0.047206704,1.74e-16
Left ventricle,LV end systolic volume,DTI dMRI,Mean L2 in posterior corona radiata on FA skeleton (left),31961,0.045924958,2.13e-16
Left ventricle,LV mean myocardial wall thickness AHA 7,NODDI dMRI,Mean ISOVF in posterior thalamic radiation on FA skeleton (right),32137,0.045795473,2.15e-16
Left ventricle,LV mean myocardial wall thickness AHA 14,DTI dMRI,Mean L1 in posterior corona radiata on FA skeleton (left),32015,0.045876891,2.16e-16
Left ventricle,LV mean myocardial wall thickness AHA 13,DTI dMRI,Mean L3 in superior fronto-occipital fasciculus on FA skeleton (right),31746,0.046070103,2.17e-16
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Weighted-mean L2 in tract cingulate gyrus part of cingulum (left),32162,0.045768262,2.18e-16
Ascending aorta,Ascending aorta minimum area,DTI dMRI,Mean FA in superior fronto-occipital fasciculus on FA skeleton (left),30452,-0.047124431,1.91e-16
Left ventricle,LV radial strain AHA 3,NODDI dMRI,Weighted-mean ISOVF in tract superior longitudinal fasciculus (left),32119,-0.045796564,2.18e-16
Left ventricle,LV mean myocardial wall thickness global,NODDI dMRI,Mean OD in posterior corona radiata on FA skeleton (right),32170,-0.045758851,2.19e-16
Descending aorta,Descending aorta maximum area,DTI dMRI,Weighted-mean L2 in tract corticospinal tract (right),30431,0.047133683,1.93e-16
Left ventricle,LV mean myocardial wall thickness AHA 15,DTI dMRI,Weighted-mean L3 in tract posterior thalamic radiation (right),32099,0.045809219,2.19e-16
Left ventricle,LV mean myocardial wall thickness AHA 14,NODDI dMRI,Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (right),32147,-0.045772558,2.2e-16
Left ventricle,LV radial strain AHA 2,DTI dMRI,Weighted-mean MD in tract superior thalamic radiation (right),32110,-0.045790121,2.23e-16
Left ventricle,LV mean myocardial wall thickness AHA 15,DTI dMRI,Mean L1 in superior longitudinal fasciculus on FA skeleton (left),32165,0.045748408,2.23e-16
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Mean L2 in cingulum cingulate gyrus on FA skeleton (right),32179,0.045738117,2.24e-16
Left ventricle,LV mean myocardial wall thickness AHA 13,DTI dMRI,Mean L3 in genu of corpus callosum on FA skeleton,32159,0.045751437,2.24e-16
Left ventricle,LV mean myocardial wall thickness AHA 15,NODDI dMRI,Weighted-mean ICVF in tract inferior longitudinal fasciculus (left),32152,-0.045755281,2.24e-16
Left ventricle,LV end diastolic volume,DTI dMRI,Weighted-mean L2 in tract acoustic radiation (right),32168,0.04574327,2.24e-16
Left ventricle,LV cardiac output,NODDI dMRI,Mean ISOVF in anterior corona radiata on FA skeleton (left),32159,0.045742829,2.27e-16
Left ventricle,LV mean myocardial wall thickness AHA 16,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (left),32051,0.045818914,2.27e-16
Left ventricle,LV mean myocardial wall thickness AHA 14,DTI dMRI,Mean MD in posterior thalamic radiation on FA skeleton (left),32093,0.045786742,2.28e-16
Ascending aorta,Ascending aorta distensibility,DTI dMRI,Mean MD in tapetum on FA skeleton (right),27471,-0.049544257,2.1e-16
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean L1 in cingulum cingulate gyrus on FA skeleton (left),32168,0.045703724,2.38e-16
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Mean L1 in sagittal stratum on FA skeleton (right),32168,0.04569209,2.42e-16
Descending aorta,Descending aorta distensibility,NODDI dMRI,Mean ISOVF in posterior thalamic radiation on FA skeleton (left),27487,-0.049519567,2.13e-16
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Mean L1 in body of corpus callosum on FA skeleton,32165,0.045693078,2.43e-16
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Mean L3 in inferior cerebellar peduncle on FA skeleton (right),30324,0.047144898,2.14e-16
Left ventricle,LV mean myocardial wall thickness AHA 4,DTI dMRI,Weighted-mean L1 in tract inferior longitudinal fasciculus (right),32172,0.045685382,2.44e-16
Left atrium,LA minimum volume,DTI dMRI,Mean L2 in anterior corona radiata on FA skeleton (left),31492,0.046259748,2.15e-16
Left ventricle,LV end systolic volume,DTI dMRI,Weighted-mean L3 in tract inferior fronto-occipital fasciculus (right),32110,0.045725536,2.45e-16
Left ventricle,LV mean myocardial wall thickness AHA 6,NODDI dMRI,Mean ISOVF in posterior corona radiata on FA skeleton (left),32038,0.045774568,2.46e-16
Left atrium,LA minimum volume,NODDI dMRI,Mean ISOVF in external capsule on FA skeleton (left),31096,0.04654833,2.17e-16
Ascending aorta,Ascending aorta minimum area,DTI dMRI,Mean L2 in retrolenticular part of internal capsule on FA skeleton (right),30442,0.047043418,2.17e-16
Left ventricle,LV mean myocardial wall thickness AHA 8,NODDI dMRI,Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (left),32144,0.045689989,2.49e-16
Left ventricle,LV mean myocardial wall thickness AHA 2,DTI dMRI,Weighted-mean L2 in tract forceps minor,32170,0.045667621,2.51e-16
Left atrium,LA ejection fraction,DTI dMRI,Weighted-mean L3 in tract inferior fronto-occipital fasciculus (left),31660,-0.04612575,2.19e-16
Left ventricle,LV mean myocardial wall thickness AHA 13,DTI dMRI,Mean L3 in anterior limb of internal capsule on FA skeleton (right),32052,0.045744612,2.53e-16
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Mean MD in uncinate fasciculus on FA skeleton (left),32157,0.045661919,2.56e-16
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Mean L3 in cerebral peduncle on FA skeleton (right),32159,0.045652937,2.59e-16
Descending aorta,Descending aorta distensibility,DTI dMRI,Mean L2 in tapetum on FA skeleton (left),27493,-0.049488268,2.21e-16
Left ventricle,LV mean myocardial wall thickness AHA 4,NODDI dMRI,Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (left),32144,0.04566156,2.6e-16
Left ventricle,LV end systolic volume,DTI dMRI,Mean MO in posterior limb of internal capsule on FA skeleton (right),32113,-0.045674517,2.64e-16
Left ventricle,LV mean myocardial wall thickness AHA 2,DTI dMRI,Mean MD in posterior thalamic radiation on FA skeleton (left),32105,0.045677592,2.65e-16
Left ventricle,LV mean myocardial wall thickness AHA 13,NODDI dMRI,Mean ICVF in posterior corona radiata on FA skeleton (right),32131,-0.045654472,2.67e-16
Left ventricle,LV mean myocardial wall thickness global,NODDI dMRI,Mean ICVF in tapetum on FA skeleton (left),32160,-0.04562594,2.7e-16
Left ventricle,LV mean myocardial wall thickness AHA 11,NODDI dMRI,Mean ISOVF in posterior corona radiata on FA skeleton (left),32045,0.045693556,2.75e-16
Left ventricle,LV mean myocardial wall thickness AHA 4,DTI dMRI,Mean L3 in cerebral peduncle on FA skeleton (right),32171,0.045600157,2.77e-16
Left ventricle,LV mean myocardial wall thickness AHA 3,DTI dMRI,Weighted-mean FA in tract inferior longitudinal fasciculus (right),32171,-0.045596216,2.79e-16
Left ventricle,LV mean myocardial wall thickness AHA 4,DTI dMRI,Mean L1 in tapetum on FA skeleton (right),32150,0.045606483,2.81e-16
Left atrium,LA stroke volume,DTI dMRI,Mean L1 in uncinate fasciculus on FA skeleton (right),31767,0.04601644,2.29e-16
Left ventricle,LV mean myocardial wall thickness AHA 15,DTI dMRI,Mean L3 in genu of corpus callosum on FA skeleton,32159,0.045599447,2.81e-16
Left ventricle,LV mean myocardial wall thickness AHA 16,DTI dMRI,Mean L2 in anterior corona radiata on FA skeleton (left),32137,0.045609522,2.83e-16
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Mean L3 in posterior limb of internal capsule on FA skeleton (right),32148,0.045595046,2.86e-16
Left ventricle,LV mean myocardial wall thickness AHA 3,NODDI dMRI,Weighted-mean ICVF in tract superior longitudinal fasciculus (right),32146,-0.045591696,2.88e-16
Left atrium,LA maximum volume,DTI dMRI,Mean MD in cingulum cingulate gyrus on FA skeleton (left),31724,0.046005916,2.44e-16
Left atrium,LA maximum volume,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (left),31689,0.046029596,2.45e-16
Left ventricle,LV mean myocardial wall thickness AHA 3,NODDI dMRI,Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (left),32155,-0.045581333,2.9e-16
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Mean L2 in inferior cerebellar peduncle on FA skeleton (left),31908,0.045745531,2.95e-16
Left ventricle,LV mean myocardial wall thickness AHA 4,DTI dMRI,Weighted-mean L3 in tract posterior thalamic radiation (right),32107,0.045599903,2.97e-16
Left ventricle,LV mean myocardial wall thickness AHA 4,DTI dMRI,Mean L2 in superior cerebellar peduncle on FA skeleton (right),32148,0.045568331,2.98e-16
Left ventricle,LV mean myocardial wall thickness AHA 5,NODDI dMRI,Mean ICVF in superior cerebellar peduncle on FA skeleton (left),32144,-0.045570968,2.98e-16
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Mean FA in sagittal stratum on FA skeleton (left),32167,-0.04555108,2.99e-16
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Weighted-mean L2 in tract acoustic radiation (right),32156,0.045550743,3.03e-16
Left ventricle,LV end systolic volume,DTI dMRI,Mean L2 in external capsule on FA skeleton (left),32044,0.045628379,3.04e-16
Left ventricle,LV end diastolic volume,DTI dMRI,Mean L2 in retrolenticular part of internal capsule on FA skeleton (left),32181,0.045522333,3.08e-16
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Mean L3 in posterior limb of internal capsule on FA skeleton (left),32158,0.045531606,3.11e-16
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Mean L3 in cerebral peduncle on FA skeleton (right),32168,0.045522187,3.12e-16
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Weighted-mean L2 in tract posterior thalamic radiation (left),30318,0.04699468,2.68e-16
Left ventricle,LV mean myocardial wall thickness AHA 15,DTI dMRI,Weighted-mean L1 in tract posterior thalamic radiation (left),32129,0.045544005,3.15e-16
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Mean L3 in uncinate fasciculus on FA skeleton (right),32154,0.045522926,3.16e-16
Left atrium,LA maximum volume,DTI dMRI,Mean L2 in superior corona radiata on FA skeleton (right),31673,0.045959968,2.76e-16
Left atrium,LA ejection fraction,DTI dMRI,Mean FA in external capsule on FA skeleton (right),31679,0.045955039,2.76e-16
Left ventricle,LV radial strain AHA 2,NODDI dMRI,Weighted-mean ISOVF in tract superior longitudinal fasciculus (left),32119,-0.04554538,3.18e-16
Left ventricle,LV mean myocardial wall thickness AHA 13,DTI dMRI,Weighted-mean L2 in tract anterior thalamic radiation (left),32123,0.045523389,3.27e-16
Ascending aorta,Ascending aorta maximum area,NODDI dMRI,Mean ICVF in tapetum on FA skeleton (left),30433,-0.046875332,2.8e-16
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Mean L1 in cingulum cingulate gyrus on FA skeleton (left),32170,0.045488934,3.27e-16
Left ventricle,LV mean myocardial wall thickness AHA 14,DTI dMRI,Weighted-mean L1 in tract inferior longitudinal fasciculus (left),32158,0.045496663,3.28e-16
Left ventricle,LV mean myocardial wall thickness AHA 4,NODDI dMRI,Mean ICVF in sagittal stratum on FA skeleton (right),32160,-0.045489443,3.31e-16
Descending aorta,Descending aorta minimum area,NODDI dMRI,Mean OD in inferior cerebellar peduncle on FA skeleton (right),30258,0.046997951,2.85e-16
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Weighted-mean L3 in tract uncinate fasciculus (left),32147,0.045490384,3.35e-16
Descending aorta,Descending aorta maximum area,DTI dMRI,Weighted-mean MD in tract uncinate fasciculus (right),30435,0.046857392,2.87e-16
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Mean MD in posterior limb of internal capsule on FA skeleton (left),30412,0.046874046,2.87e-16
Left ventricle,LV mean myocardial wall thickness AHA 16,DTI dMRI,Mean L3 in anterior limb of internal capsule on FA skeleton (right),32051,0.045554612,3.37e-16
Left atrium,LA minimum volume,DTI dMRI,Weighted-mean L3 in tract superior longitudinal fasciculus (left),31470,0.046077071,2.89e-16
Left ventricle,LV mean myocardial wall thickness AHA 14,NODDI dMRI,Weighted-mean ICVF in tract inferior longitudinal fasciculus (right),32145,-0.045486079,3.37e-16
Descending aorta,Descending aorta distensibility,DTI dMRI,Weighted-mean FA in tract corticospinal tract (right),27550,0.049231935,2.93e-16
Left ventricle,LV end systolic volume,DTI dMRI,Weighted-mean L3 in tract anterior thalamic radiation (right),32081,0.045531268,3.38e-16
Ascending aorta,Ascending aorta distensibility,NODDI dMRI,Mean ICVF in body of corpus callosum on FA skeleton,27521,0.04925294,2.95e-16
Left ventricle,LV mean myocardial wall thickness AHA 10,NODDI dMRI,Weighted-mean ISOVF in tract inferior longitudinal fasciculus (left),32138,0.045489865,3.38e-16
Left ventricle,LV mean myocardial wall thickness AHA 15,DTI dMRI,Weighted-mean L2 in tract uncinate fasciculus (left),32149,0.045473963,3.42e-16
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean L2 in uncinate fasciculus on FA skeleton (left),32165,0.045460257,3.43e-16
Left ventricle,LV mean myocardial wall thickness AHA 3,DTI dMRI,Mean L3 in cingulum cingulate gyrus on FA skeleton (right),32180,0.045448455,3.44e-16
Left ventricle,LV mean myocardial wall thickness AHA 2,DTI dMRI,Mean L3 in cerebral peduncle on FA skeleton (left),32167,0.045456803,3.44e-16
Left ventricle,LV mean myocardial wall thickness AHA 2,DTI dMRI,Mean L2 in anterior limb of internal capsule on FA skeleton (left),32077,0.045516106,3.47e-16
Left ventricle,LV mean myocardial wall thickness AHA 12,NODDI dMRI,Mean ISOVF in anterior corona radiata on FA skeleton (left),32146,0.045465461,3.48e-16
Descending aorta,Descending aorta distensibility,DTI dMRI,Weighted-mean L1 in tract posterior thalamic radiation (right),27525,-0.049214216,3.1e-16
